out,sig_angle_deg
-50.0,235.66
-50.0,235.57
-50.0,235.4
50.0,235.22
50.0,235.04
-50.0,235.22
-51.32,235.4
-80.33,235.66
-65.41,235.75
-71.6,235.84
-61.1,235.84
-61.14,235.84
-50.0,235.75
-50.0,235.66
-50.0,235.48
-50.0,235.31
-50.0,235.22
50.0,235.04
50.0,234.78
-50.0,234.87
-50.0,235.04
-50.0,235.13
-50.0,235.31
-50.0,235.4
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.4
-50.0,235.31
50.0,235.13
50.0,234.96
-50.0,235.13
-59.87,235.4
-50.0,235.48
-67.74,235.66
-63.36,235.75
-52.84,235.75
-52.86,235.75
-52.88,235.75
-50.0,235.66
-50.0,235.66
-50.0,235.57
-50.0,235.48
-50.0,235.4
50.0,235.22
50.0,234.96
-50.0,235.13
-50.0,235.22
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
50.0,235.22
50.0,235.13
-50.0,235.31
-87.53,235.66
-95.51,235.92
-63.93,235.92
-64.0,235.92
-50.0,235.84
-50.0,235.66
-50.0,235.48
50.0,235.31
50.0,235.04
-50.0,235.13
-50.0,235.31
-50.0,235.4
-50.0,235.4
-50.0,235.31
-50.0,235.31
-50.0,235.22
50.0,235.04
50.0,234.87
-50.0,235.04
-50.0,235.22
-50.0,235.4
-50.0,235.48
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.48
-50.0,235.4
-50.0,235.31
50.0,235.13
50.0,234.96
-50.0,235.04
-50.0,235.22
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.31
50.0,235.13
50.0,234.96
-50.0,235.04
-50.0,235.22
-50.0,235.22
-50.0,235.22
-50.0,235.22
50.0,235.13
50.0,235.04
-50.0,235.13
-54.46,235.4
-56.2,235.57
-68.53,235.75
-50.0,235.75
-50.0,235.75
-50.0,235.75
-50.0,235.57
-50.0,235.48
50.0,235.31
50.0,235.13
-50.0,235.22
-50.0,235.31
-50.0,235.4
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.4
50.0,235.22
50.0,235.13
-50.0,235.22
-50.0,235.4
-50.0,235.48
-50.0,235.57
-50.0,235.57
-50.0,235.48
-50.0,235.4
-50.0,235.31
50.0,235.13
50.0,234.87
50.0,234.87
-50.0,234.96
-50.0,235.13
-50.0,235.22
-50.0,235.22
-50.0,235.22
50.0,235.04
50.0,234.96
50.0,234.96
-50.0,235.13
-50.0,235.22
-50.0,235.31
50.0,235.22
50.0,235.13
-50.0,235.13
-50.0,235.13
50.0,234.96
50.0,234.78
50.0,234.78
50.0,234.78
50.0,234.69
50.0,234.61
50.0,234.61
50.0,234.61
55.31,234.52
50.0,234.52
62.05,234.43
51.81,234.43
52.12,234.43
52.43,234.43
69.46,234.34
59.24,234.34
59.57,234.34
59.9,234.34
60.23,234.34
60.56,234.34
60.89,234.34
61.22,234.34
61.55,234.34
78.6,234.25
68.4,234.25
52.03,234.34
62.91,234.34
50.0,234.43
57.37,234.43
50.0,234.52
51.79,234.52
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.69
58.01,234.61
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.61
50.0,234.61
66.03,234.52
55.77,234.52
72.78,234.43
62.54,234.43
62.84,234.43
63.15,234.43
63.46,234.43
63.77,234.43
64.07,234.43
81.1,234.34
70.89,234.34
54.49,234.43
50.0,234.52
59.46,234.52
50.0,234.61
53.83,234.61
50.0,234.69
50.0,234.69
50.0,234.69
65.37,234.61
55.09,234.61
55.35,234.61
72.34,234.52
78.8,234.43
68.56,234.43
68.87,234.43
69.17,234.43
86.2,234.34
59.26,234.43
53.39,234.52
64.23,234.52
50.0,234.61
58.6,234.61
58.87,234.61
50.0,234.69
69.92,234.61
59.64,234.61
59.9,234.61
76.89,234.52
83.35,234.43
73.11,234.43
73.41,234.43
73.72,234.43
57.31,234.52
68.14,234.52
51.7,234.61
62.51,234.61
62.78,234.61
63.04,234.61
63.31,234.61
80.29,234.52
86.75,234.43
76.51,234.43
76.82,234.43
60.41,234.52
71.24,234.52
54.8,234.61
65.61,234.61
65.88,234.61
66.14,234.61
83.13,234.52
72.87,234.52
89.87,234.43
79.63,234.43
63.22,234.52
74.05,234.52
57.62,234.61
68.43,234.61
68.69,234.61
68.95,234.61
85.94,234.52
92.4,234.43
82.16,234.43
82.47,234.43
66.05,234.52
60.16,234.61
70.98,234.61
71.24,234.61
71.5,234.61
88.49,234.52
78.23,234.52
78.51,234.52
95.52,234.43
68.56,234.52
62.67,234.61
73.48,234.61
73.75,234.61
90.73,234.52
80.47,234.52
80.76,234.52
81.04,234.52
81.33,234.52
81.61,234.52
65.18,234.61
92.71,234.52
82.45,234.52
82.73,234.52
99.74,234.43
72.78,234.52
83.61,234.52
67.17,234.61
77.99,234.61
78.25,234.61
95.24,234.52
84.97,234.52
85.26,234.52
85.55,234.52
69.11,234.61
79.92,234.61
96.91,234.52
86.65,234.52
103.65,234.43
93.41,234.43
93.72,234.43
77.31,234.52
71.42,234.61
82.23,234.61
99.21,234.52
88.95,234.52
89.24,234.52
72.8,234.61
83.61,234.61
83.88,234.61
100.86,234.52
107.32,234.43
97.08,234.43
97.39,234.43
80.98,234.52
75.09,234.61
85.9,234.61
102.89,234.52
92.62,234.52
92.91,234.52
93.19,234.52
93.48,234.52
93.77,234.52
94.05,234.52
111.06,234.43
84.1,234.52
94.93,234.52
95.22,234.52
95.5,234.52
112.51,234.43
102.27,234.43
102.58,234.43
86.16,234.52
80.27,234.61
91.08,234.61
108.07,234.52
97.81,234.52
98.1,234.52
98.38,234.52
115.39,234.43
105.15,234.43
105.46,234.43
105.76,234.43
89.35,234.52
100.18,234.52
117.19,234.43
106.95,234.43
107.26,234.43
107.57,234.43
91.15,234.52
101.98,234.52
118.99,234.43
108.75,234.43
109.06,234.43
92.65,234.52
103.48,234.52
120.49,234.43
126.97,234.34
100.03,234.43
110.89,234.43
111.19,234.43
111.5,234.43
111.81,234.43
112.12,234.43
112.42,234.43
112.73,234.43
113.04,234.43
130.07,234.34
119.85,234.34
120.18,234.34
120.51,234.34
120.84,234.34
121.17,234.34
104.78,234.43
115.63,234.43
115.94,234.43
132.97,234.34
106.03,234.43
116.88,234.43
133.92,234.34
123.7,234.34
124.03,234.34
124.36,234.34
124.69,234.34
141.74,234.25
131.54,234.25
131.89,234.25
132.25,234.25
132.6,234.25
132.95,234.25
133.3,234.25
116.93,234.34
127.81,234.34
128.14,234.34
145.19,234.25
134.99,234.25
118.62,234.34
146.22,234.25
152.75,234.17
142.57,234.17
126.22,234.25
137.12,234.25
154.2,234.17
127.3,234.25
138.2,234.25
155.28,234.17
145.1,234.17
162.2,234.08
135.32,234.17
146.24,234.17
146.62,234.17
163.71,234.08
136.84,234.17
147.76,234.17
164.86,234.08
154.7,234.08
155.1,234.08
155.5,234.08
172.61,233.99
162.48,233.99
146.18,234.08
157.12,234.08
174.24,233.99
164.11,233.99
164.53,233.99
181.67,233.9
171.56,233.9
172.0,233.9
172.44,233.9
172.88,233.9
190.04,233.81
179.95,233.81
180.42,233.81
180.88,233.81
198.06,233.73
171.27,233.81
182.28,233.81
182.75,233.81
199.93,233.73
189.87,233.73
190.35,233.73
190.83,233.73
208.04,233.64
198.0,233.64
